value,anomaly
0.22316073023967076,0
2.44071460984511,0
4.0081539587115635,0
6.582937984832648,0
8.29516552953597,0
10.041860371980272,0
12.939041729993681,0
14.89369381420194,0
16.503202193123066,0
18.883782325226985,0
20.801337742208478,0
22.236655000193426,0
24.907675756059664,0
26.320995554580346,0
28.3961494261293,0
30.675907922001382,0
32.247182374690276,0
34.18644486298927,0
36.70115764234958,0
38.26129090931797,0
40.01879208647067,0
42.665042392503175,0
44.07118064919272,0
46.26613034792559,0
48.78324787689675,0
50.67247051274963,0
52.51316059502617,0
54.313678417961015,0
56.659944274848584,0
58.10746674280544,0
60.44845142761103,0
62.95149304757042,0
64.55465848918722,0
66.89782805714663,0
68.45110859648398,0
70.5060911047576,0
72.92811301594733,0
74.43693344162398,0
76.56002556488859,0
78.86374932405676,0
80.87428355719751,0
82.64975580844906,0
84.34179580134972,0
86.80820595821108,0
88.60205143930479,0
90.85881789303204,0
92.39629201110701,0
94.16876806256195,0
96.13109535061518,0
98.98083693533505,0
100.61696989932986,0
102.79078601372827,0
104.44305003743355,0
106.49762725634066,0
108.53677302929931,0
110.74481522584894,0
112.6330120985957,0
114.00562405689111,0
116.12100109820504,0
118.15590900928434,0
120.43431752576191,0
122.53353427337444,0
124.99672309927628,0
126.1554187461913,0
128.7725004528216,0
130.29428786570512,0
132.2987078205709,0
134.37723756077128,0
136.06593624002076,0
138.7725315318408,0
140.95976105529616,0
142.11124000120128,0
144.6630894474832,0
146.30428818995725,0
148.57428213049772,0
150.36797423206303,0
152.8213112235556,0
154.65742188896914,0
156.81295319244887,0
158.92093250352457,0
160.18660096015412,0
162.73523383443944,0
164.15477874277045,0
166.43341565634813,0
168.32514156232702,0
170.44552928837845,0
174.34862589055325,1
174.65780810107412,0
176.11300236561698,0
178.54814774690962,0
183.75105364997768,1
182.46425269656422,0
184.46913100085337,0
186.74323371480818,0
188.00696046157208,0
190.37381656927798,0
192.38054341428654,0
194.10647197729486,0
196.88527072762986,0
198.0352682957319,0
200.05709072917617,0
202.54493504267842,0
204.87735040195307,0
206.93884381237024,0
208.00824323396768,0
210.70246120862797,0
212.0019080500836,0
214.1510776782627,0
216.57339574279382,0
218.50185171667417,0
220.19275546127596,0
222.7158524409499,0
224.89979885457674,0
226.5732018999399,0
228.07779851424664,0
230.81444287676973,0
232.65146784040775,0
234.67059232952494,0
236.78177848559642,0
238.69593160837348,0
242.78944899051197,1
242.07134322308593,0
244.4708038878859,0
249.42672048160773,1
250.4933697225809,1
250.8466861246632,0
252.5229199070917,0
254.08705453396107,0
256.8668352807833,0
258.1218098741277,0
260.6765016101197,0
262.8655681562891,0
264.26137463328644,0
266.5029019369243,0
268.80969391866006,0
270.4537299421929,0
272.895063869575,0
274.33632369412095,0
276.7455067986473,0
278.8319344137765,0
280.50276320174953,0
282.1698106487516,0
284.23682605516365,0
286.62126818474275,0
288.2366454345952,0
290.6062806675252,0
292.0255523720645,0
294.0335526083213,0
296.44262221847305,0
298.93662332892353,0
300.8761830216215,0
302.2759845912651,0
304.01248868917014,0
306.0341627508826,0
308.1593867755306,0
310.7296492875777,0
312.5386759059722,0
314.07152047145934,0
316.2535664017858,0
318.20451833237195,0
320.9962797491794,0
322.94921084297624,0
324.85539155523804,0
326.843973521902,0
328.45134101097767,0
330.7775356491108,0
332.1918396591492,0
334.5047337804825,0
336.3133509401556,0
338.4068340105306,0
340.017398516337,0
342.16290991229823,0
344.8478042257561,0
346.0101696664561,0
348.54465025239756,0
350.2962186068065,0
352.40120710541527,0
354.5187199979617,0
356.4640277047256,0
358.9112516339108,0
360.1836775429927,0
362.9204252295785,0
364.0452937130189,0
366.5200624778532,0
368.9826944935483,0
370.20350118117216,0
372.4741852880753,0
374.75892927921313,0
376.54896109275484,0
378.50915644312573,0
380.65709608004846,0
382.86627652116834,0
384.3277983291492,0
386.7456111482909,0
388.5757263515655,0
390.98110414782434,0
392.30453066794024,0
394.235138207434,0
396.94087846200995,0
398.1144881690769,0
400.83953232622866,0
402.3122543948649,0
404.3586558435767,0
406.29231156931263,0
408.17974786948446,0
410.20810529779794,0
412.66915784165946,0
414.2377654672294,0
416.5228919514183,0
418.44727256241595,0
420.7463634661615,0
422.94788330189215,0
424.24973384400056,0
426.63957474786156,0
428.63509758270135,0
430.2609019973432,0
432.1827243095364,0
434.6530201581286,0
436.5700443562172,0
438.21042090632227,0
440.96187838103066,0
442.5945560938765,0
444.22273310563486,0
446.91833549624766,0
448.0949639691908,0
450.7541346859386,0
452.49939220456787,0
454.66552445903193,0
456.0518629369816,0
458.6929728719227,0
460.094287974982,0
462.83818887903413,0
464.65580721456786,0
466.1261265283179,0
468.7444743762254,0
470.83092820721396,0
472.98900408521246,0
474.7912906189512,0
476.07037472793274,0
478.5277427807883,0
480.26587713974567,0
482.63695008715064,0
484.9843587626332,0
486.20604606851026,0
488.9156997319246,0
490.8959461695036,0
492.5360733444339,0
494.12391383767056,0
496.45975920962155,0
498.3037351436686,0
500.6558805282339,0
502.2942381845005,0
504.8045556892011,0
506.759212175774,0
508.67314847407937,0
510.60744719427174,0
512.6109126214958,0
514.6609992425122,0
516.3970148941328,0
518.7982411310385,0
520.944315925532,0
522.3414682473916,0
524.4408136396571,0
526.7965501868722,0
528.3350235773984,0
530.8313661696985,0
532.6915613881692,0
534.5266439023427,0
536.9719977775976,0
538.9299031226243,0
540.5741214931788,0
542.0017266779596,0
544.1197771130334,0
546.6852616587665,0
548.1062784952952,0
550.6648014256496,0
552.8466166158444,0
554.2007276094365,0
556.3668634224115,0
558.5650156867865,0
560.4654251521061,0
562.3476806821533,0
564.3156553059887,0
566.0009050536836,0
568.6222733441708,0
570.8029824718571,0
572.702524208755,0
574.1085967268568,0
576.4824546760763,0
578.0920302810696,0
580.5621248697483,0
582.6611220530019,0
584.715776834665,0
586.8929234134043,0
588.7733686105952,0
590.5196824262795,0
592.1610671163459,0
594.3546987811446,0
596.317745648568,0
598.4948254033652,0
600.4770338771866,0
602.2980315384418,0
604.3055418394648,0
606.7294392973024,0
608.4104915021005,0
610.7171890508491,0
612.8309808608308,0
614.8495808255898,0
616.1186110000243,0
618.6100454708161,0
620.631491366321,0
622.6458267745958,0
624.223850570608,0
626.6380461773726,0
628.5709946356933,0
630.5755368825315,0
632.4902448214498,0
634.9042287639321,0
